,ID,BRAND,recency,frequency,tenure
31769,391SNSA442,CineQuest,110,1,110
31770,391SQZA806,CineQuest,116,1,132
31771,391TCOL846,ChillStream,20,2,41
31772,391THQJ129,LimeLight,31,1,31
31773,391THQJ129,TasteMakers,35,1,35
31774,391TMDB301,Adrenaline,6,0,6
31775,391TMDB301,DarkMatter,62,1,62
31776,391UCFF582,Adrenaline,164,0,164
31777,391URRC982,RetroReel,54,1,54
31778,391VOME990,LimeLight,12,1,149
31779,391VOME990,TasteMakers,88,1,88
31780,391WFUF737,SilverScreen Classics,50,1,50
31781,391WFUF737,TimeCapsule TV,53,1,53
31782,391XOPW435,Adrenaline,135,1,135
31783,391XOPW435,DarkMatter,169,0,169
31784,391XYBV033,ChillStream,94,1,94
31785,391ZNUE232,TasteMakers,7,0,7
31786,392AWLG280,Adrenaline,92,1,92
31787,392AWLG280,DarkMatter,68,0,68
31788,392AWVB019,DarkMatter,160,0,160
31789,392BSZV720,Adrenaline,92,1,92
31790,392BSZV720,DarkMatter,32,1,32
31791,392CSJH825,TimeCapsule TV,169,1,169
31792,392CTLI179,ChillStream,7,1,134
31793,392CYXI114,CineQuest,173,0,173
31794,392DLPB921,LimeLight,45,1,45
31795,392DNWA813,LimeLight,25,1,61
31796,392ETKJ096,CineQuest,62,0,62
31797,392FSNL802,DarkMatter,111,0,111
31798,392FSNL802,Pulse,49,0,49
31799,392FYGD705,LimeLight,83,1,83
31800,392FYGD705,Pulse,25,1,25
31801,392FZFJ267,TimeCapsule TV,57,1,57
31802,392GBBQ337,CineQuest,93,0,93
31803,392GIVO703,Pulse,143,1,143
31804,392GKNC533,CineQuest,22,2,167
31805,392GKNC533,Pulse,51,2,141
31806,392GTJC508,RetroReel,169,0,169
31807,392GTJC508,TimeCapsule TV,0,0,0
31808,392HGJR611,Adrenaline,162,1,162
31809,392HSPK034,Pulse,133,1,149
31810,392IIUR238,ChillStream,132,0,132
31811,392ISCM461,RetroReel,47,1,156
31812,392JEXK032,CineQuest,130,0,130
31813,392JEXK032,Pulse,98,1,156
31814,392JGWX652,Pulse,155,1,155
31815,392KFEJ603,RetroReel,72,1,99
31816,392KFEJ603,SilverScreen Classics,44,1,44
31817,392KGUY604,RetroReel,47,1,72
31818,392LOXI938,Adrenaline,23,1,23
31819,392LUKJ619,Adrenaline,55,0,55
31820,392LUKJ619,DarkMatter,5,1,5
31821,392MNDC241,CineQuest,113,0,113
31822,392MVBR670,SilverScreen Classics,139,0,139
31823,392NPHZ699,LimeLight,39,0,39
31824,392NRCM905,Pulse,134,1,140
31825,392OCQC315,LimeLight,28,1,28
31826,392OGLR886,ChillStream,129,1,129
31827,392OGLR886,LimeLight,115,1,115
31828,392OOFY566,LimeLight,3,2,159
31829,392PRON889,Adrenaline,173,0,173
31830,392PRON889,DarkMatter,112,0,112
31831,392RBVB609,SilverScreen Classics,127,1,127
31832,392RGBE524,LimeLight,35,1,146
31833,392RING424,ChillStream,123,1,166
31834,392RING424,RetroReel,60,1,60
31835,392RNHU895,SilverScreen Classics,152,1,152
31836,392RNHU895,TimeCapsule TV,41,1,56
31837,392RUAA789,ChillStream,110,1,110
31838,392SIHC380,ChillStream,110,0,110
31839,392SQNO225,Pulse,36,0,36
31840,392SUIE761,Adrenaline,63,1,63
31841,392TAMR094,CineQuest,28,1,136
31842,392TZFT150,Adrenaline,106,0,106
31843,392TZFT150,DarkMatter,44,1,45
31844,392UIZZ897,Adrenaline,32,1,32
31845,392VWUD884,DarkMatter,42,1,116
31846,392VWUD884,Pulse,18,1,18
31847,392VYSH970,Adrenaline,5,1,5
31848,392WVVX676,TimeCapsule TV,28,1,28
